the_geom,the_geom_webmercator,objectid,year,dc_key,code,date_,race,sex,age,wound,officer_involved,offender_injured,offender_deceased,location,latino,point_x,point_y,dist,time,inside,outside,fatal,lat,lng
0101000020E61000004EFB394795C552C001EBE535FE004440,0101000020110F0000F15EAB39C4E25FC1A82FBC6CFF905241,6080,2019.0,201915032698,0111,2019-04-08,B,M,24,multi,N,N,N,4200 BLOCK Tackawanna St,0,-75.08723622,40.00775789,15,23:56:00,0,1,1,40.00775789,-75.08723622
0101000020E61000008CFEE969F4CC52C094B74C1B48FB4340,0101000020110F0000C517FEB649EF5FC1CF9DB0C2AA8A5241,6081,2019.0,201916015277,0411,2019-04-09,B,M,25,abdomen,N,N,N,4000 BLOCK Lancaster Ave,0,-75.20241783,39.96313802,16,23:36:00,0,1,0,39.96313802,-75.20241783
0101000020E61000008CCE43B728CB52C00A19C04203054440,0101000020110F0000F9B22BDF3CEC5FC1FAD50FB574955241,6082,2019.0,201914048962,0411,2019-05-26,B,M,24,multi,N,N,N,200 BLOCK E RITTENHOUSE ST,0,-75.1743601,40.03916201,14,22:19:00,0,1,0,40.03916201,-75.1743601
0101000020E61000007BDE4BE9B2CB52C0B38111872EF74340,0101000020110F00000E36519C27ED5FC1DCDE990220865241,6083,2019.0,201917021972,0411,2019-05-26,B,M,39,head,N,N,N,1700 BLOCK POINT BREEZE AVE,0,-75.18279488,39.93110741,17,23:36:00,0,1,0,39.93110741,-75.18279488
0101000020E610000020423B2B52C552C01F92EF8C95024440,0101000020110F00004016B83B52E25FC1A5DBC720C3925241,6084,2019.0,201915051465,0111,2019-05-25,B,M,27,chest,N,N,N,4900 BLOCK PENN ST,0,-75.08314019,40.02018892,15,22:50:00,0,1,1,40.02018892,-75.08314019
0101000020E61000006E194F88E9CD52C0709EC1116AF94340,0101000020110F0000BB53DA12EAF05FC16572731C99885241,6085,2019.0,201918044926,0411,2019-05-27,B,M,24,arm,N,N,N,4700 BLOCK Baltimore Ave,0,-75.21737869,39.94854948,18,00:46:00,0,1,0,39.94854948,-75.21737869
0101000020E61000003F21751A6DCC52C0412939ABAEF74340,0101000020110F0000A4D463E063EE5FC1252C69F0AD865241,6086,2019.0,201917022169,0411,2019-05-27,B,M,31,arm,N,N,N,3000 BLOCK Dickinson St,0,-75.19415914,39.93501797,17,23:35:00,0,1,0,39.93501797,-75.19415914
0101000020E6100000F316386E6BC952C0EC9799E3A6FE4340,0101000020110F0000DBF1828248E95FC1A56416FB668E5241,6087,2019.0,201926021542,0411,2019-05-27,B,M,22,ankle,N,N,N,2400 BLOCK Germantown Ave,0,-75.14718204,39.98946805,26,22:27:00,0,1,0,39.98946805,-75.14718204
0101000020E6100000F316386E6BC952C0EC9799E3A6FE4340,0101000020110F0000DBF1828248E95FC1A56416FB668E5241,6088,2019.0,201926021567,0411,2019-05-28,B,M,26,thigh,N,N,N,2400 BLOCK Germantown Ave,0,-75.14718204,39.98946805,26,03:03:00,0,1,0,39.98946805,-75.14718204
0101000020E6100000502D2AFB51C952C06892DC8A12FF4340,0101000020110F00008B3D09481DE95FC164319751DE8E5241,6089,2019.0,201926021484,0411,2019-05-27,W,M,17,leg,N,N,N,800 BLOCK W Lehigh Ave,1,-75.14562873,39.99275337,26,16:01:00,0,1,0,39.99275337,-75.14562873
0101000020E6100000FF5DC047D4C452C01823F176AD034440,0101000020110F000042EA19667CE15FC15EFC4193F9935241,6090,2019.0,201915052485,0411,2019-05-28,B,M,19,multi,N,N,N,5800 BLOCK N Penn St,0,-75.07545656,40.02873122,15,17:44:00,0,1,0,40.02873122,-75.07545656
0101000020E6100000E2790492CBC952C0FC775467FBFB4340,0101000020110F000089B120D0EBE95FC14A8CDA71718B5241,6091,2019.0,201922045052,0111,2019-05-29,B,M,43,multi,N,N,N,1000 BLOCK POPLAR ST,0,-75.15304994,39.96860973,22,17:29:00,0,1,1,39.96860973,-75.15304995
0101000020E61000006DE3B27E71CA52C05CD2288F34F54340,0101000020110F000037960BA705EB5FC1AFA10CAEEF835241,6092,2019.0,201903035895,0411,2019-05-29,B,M,22,arm,N,N,N,900 BLOCK OREGON AVE,0,-75.16317718,39.91566648,03,15:55:00,0,1,0,39.91566648,-75.16317718
0101000020E61000005F3C07BF62CD52C08A1B1AC35AFC4340,0101000020110F0000A84C292005F05FC119D8E81EDB8B5241,6093,2019.0,201916024840,0111,2019-05-29,B,M,18,head,N,N,N,4200 BLOCK WYALUSING AV,0,-75.20915199,39.97151984,16,13:40:00,0,1,1,39.97151984,-75.20915199
0101000020E6100000D8C4D9DF1FCC52C087058C689AF74340,0101000020110F00003B5206B2E0ED5FC10C79857F97865241,5106,2017.0,201717051515,0111,2017-12-19,B,M,17,head,N,N,N,2700 BLOCK Dickinson St,0,-75.18944546,39.93439967,17,21:15:00,0,1,1,39.93439967,-75.18944546
0101000020E6100000ED2254C276CC52C04B3B77B3EDF74340,0101000020110F0000F49E1C4774EE5FC1CEA4A3C1F3865241,5107,2017.0,201717051511,0411,2017-12-19,B,M,18,leg,N,N,N,1300 BLOCK S Stanley St,0,-75.19474848,39.93694157,17,21:01:00,0,1,0,39.93694156,-75.19474848
0101000020E61000005B82E739BDC952C09F8590359B004440,0101000020110F0000538BAC72D3E95FC1492E56A791905241,5108,2017.0,201725106773,0411,2017-12-12,W,M,29,multi,N,N,N,3400 BLOCK N Broad St,1,-75.15217445,40.00473661,25,23:54:00,0,1,0,40.00473661,-75.15217445
0101000020E6100000CC1022742BC952C006525A662E054440,0101000020110F0000AC2CAFD6DBE85FC163C00F90A4955241,5109,2017.0,201735109410,0411,2017-12-20,B,M,42,chest,N,N,N,5700 BLOCK N Park Ave,0,-75.1432772,40.04047851,35,23:35:00,0,1,0,40.04047851,-75.1432772
