officer_id,po_race,po_sex,po_assigned_unit,po_district_number,allegations_investigated,investigative_findings,disciplinary_findings,complaint_id,officer_complaint_id
49799920,black,male,3500 35TH DISTRICT,35,Unprofessional Conduct,No Sustained Findings,Not Applicable,15-0207,15-0207-49799920
91448747,white,male,2400 24TH DISTRICT,24,Lack of Service,No Sustained Findings,Not Applicable,15-0208,15-0208-91448747
71839181,white,male,2400 24TH DISTRICT,24,Lack of Service,No Sustained Findings,Not Applicable,15-0208,15-0208-71839181
66934129,white,male,2400 24TH DISTRICT,24,Lack of Service,No Sustained Findings,Not Applicable,15-0208,15-0208-66934129
17844812,black,male,2400 24TH DISTRICT,24,Lack of Service,No Sustained Findings,Not Applicable,15-0208,15-0208-17844812
33460161,latino,male,2400 24TH DISTRICT,24,Lack of Service,No Sustained Findings,Not Applicable,15-0208,15-0208-33460161
75915109,black,male,1800 18TH DISTRICT,18,Departmental Violation,No Sustained Findings,Not Applicable,15-0209,15-0209-75915109
81796571,black,male,2200 22ND DISTRICT,22,Lack of Service,No Sustained Findings,Not Applicable,15-0210,15-0210-81796571
,,,,,Referred to Other Agency/C.A.P. Investigation,No Sustained Findings,Not Applicable,15-0211,15-0211-
21947175,black,male,5200 TRAFFIC DISTRICT,52,Unprofessional Conduct,No Sustained Findings,Not Applicable,15-0212,15-0212-21947175
,,,,,Departmental Violation,No Sustained Findings,Not Applicable,15-0213,15-0213-
27660753,black,male,1400 14TH DISTRICT,14,Physical Abuse,No Sustained Findings,Not Applicable,15-0213,15-0213-27660753
30096971,asian,female,0800 08TH DISTRICT,8,Harassment,No Sustained Findings,Not Applicable,15-0214,15-0214-30096971
55825406,white,male,0200 02ND DISTRICT,2,Departmental Violation,No Sustained Findings,Not Applicable,15-0215,15-0215-55825406
60742990,white,male,0200 02ND DISTRICT,2,Physical Abuse,No Sustained Findings,Not Applicable,15-0215,15-0215-60742990
60742990,white,male,0200 02ND DISTRICT,2,Departmental Violation,No Sustained Findings,Not Applicable,15-0215,15-0215-60742990
24121095,black,male,1200 12TH DISTRICT,12,Verbal Abuse,No Sustained Findings,Not Applicable,15-0216,15-0216-24121095
16937410,white,male,4500 CENTER CITY DISTRIC,,Physical Abuse,No Sustained Findings,Not Applicable,15-0217,15-0217-16937410
16937410,white,male,4500 CENTER CITY DISTRIC,,Physical Abuse,No Sustained Findings,Not Applicable,15-0217,15-0217-16937410
49129754,white,female,2400 24TH DISTRICT,24,Departmental Violation,Sustained Finding,Training/Counseling,15-0218,15-0218-49129754
86852342,white,male,5300 HIGHWAY PATROL,,Lack of Service,No Sustained Findings,Not Applicable,15-0218,15-0218-86852342
40613977,white,male,5300 HIGHWAY PATROL,,Lack of Service,No Sustained Findings,Not Applicable,15-0218,15-0218-40613977
,,,,,Lack of Service,No Sustained Findings,Not Applicable,15-0218,15-0218-
76715051,white,male,5810 ORDINANCE DISP UNIT,,Unprofessional Conduct,No Sustained Findings,Not Applicable,15-0219,15-0219-76715051
71848451,white,male,1400 14TH DISTRICT,14,Departmental Violation,No Sustained Findings,Not Applicable,15-0220,15-0220-71848451
84317075,white,male,1400 14TH DISTRICT,14,Departmental Violation,No Sustained Findings,Not Applicable,15-0220,15-0220-84317075
75026246,white,male,0200 02ND DISTRICT,2,Departmental Violation,No Sustained Findings,Not Applicable,15-0221,15-0221-75026246
33907167,white,male,2500 25TH DISTRICT,25,Departmental Violation,Sustained Finding,Training/Counseling,15-0222,15-0222-33907167
97718335,white,male,2500 25TH DISTRICT,25,Departmental Violation,Sustained Finding,Training/Counseling,15-0222,15-0222-97718335
97718335,white,male,2500 25TH DISTRICT,25,Verbal Abuse,No Sustained Findings,Not Applicable,15-0222,15-0222-97718335
61625673,white,male,6100 SOUTH DETECTIVES,,Departmental Violation,No Sustained Findings,Not Applicable,15-0223,15-0223-61625673
11007882,white,male,2500 25TH DISTRICT,25,Verbal Abuse,No Sustained Findings,Not Applicable,15-0224,15-0224-11007882
21365930,white,male,2600 26TH DISTRICT,26,Verbal Abuse,No Sustained Findings,Not Applicable,15-0224,15-0224-21365930
73464815,white,male,0600 06TH DISTRICT,6,Harassment,No Sustained Findings,Not Applicable,15-0225,15-0225-73464815
83925516,black,male,0600 06TH DISTRICT,6,Harassment,No Sustained Findings,Not Applicable,15-0225,15-0225-83925516
66806070,latino,male,2500 25TH DISTRICT,25,Verbal Abuse,No Sustained Findings,Not Applicable,15-0226,15-0226-66806070
66806070,latino,male,2500 25TH DISTRICT,25,Domestic,No Sustained Findings,Not Applicable,15-0226,15-0226-66806070
32724420,white,female,3500 35TH DISTRICT,35,Departmental Violation,No Sustained Findings,Not Applicable,15-0227,15-0227-32724420
51385385,black,male,3500 35TH DISTRICT,35,Sexual Crime/Misconduct,No Sustained Findings,Not Applicable,15-0227,15-0227-51385385
,,,,,Physical Abuse,No Sustained Findings,Not Applicable,15-0228,15-0228-
,,,,,Departmental Violation,No Sustained Findings,Not Applicable,15-0228,15-0228-
39732152,white,male,3900 39TH DISTRICT,39,Verbal Abuse,No Sustained Findings,Not Applicable,15-0228,15-0228-39732152
44911004,white,male,4923 RADIO ROOM,,Lack of Service,Sustained Finding,Guilty Finding,15-0229,15-0229-44911004
44911004,white,male,4923 RADIO ROOM,,Unprofessional Conduct,Sustained Finding,Guilty Finding,15-0229,15-0229-44911004
52291414,black,male,7403 NARC FIELD UNIT NOR,,Criminal Allegation,No Sustained Findings,Not Applicable,15-0230,15-0230-52291414
76622182,latino,male,2500 25TH DISTRICT,25,Departmental Violation,No Sustained Findings,Not Applicable,15-0231,15-0231-76622182
76622182,latino,male,2500 25TH DISTRICT,25,Physical Abuse,No Sustained Findings,Not Applicable,15-0231,15-0231-76622182
76622182,latino,male,2500 25TH DISTRICT,25,Verbal Abuse,No Sustained Findings,Not Applicable,15-0231,15-0231-76622182
76622182,latino,male,2500 25TH DISTRICT,25,Departmental Violation,No Sustained Findings,Not Applicable,15-0231,15-0231-76622182
76622182,latino,male,2500 25TH DISTRICT,25,Physical Abuse,No Sustained Findings,Not Applicable,15-0231,15-0231-76622182
76622182,latino,male,2500 25TH DISTRICT,25,Departmental Violation,Sustained Finding,Guilty Finding,15-0231,15-0231-76622182
44679605,white,male,2500 25TH DISTRICT,25,Departmental Violation,No Sustained Findings,Not Applicable,15-0231,15-0231-44679605
44679605,white,male,2500 25TH DISTRICT,25,Verbal Abuse,No Sustained Findings,Not Applicable,15-0231,15-0231-44679605
44679605,white,male,2500 25TH DISTRICT,25,Physical Abuse,No Sustained Findings,Not Applicable,15-0231,15-0231-44679605
